"Linien_Id";"Linienname";"VSYS";"Linienname_Fahrgastauskunft"
64;"10";"T";"10"
8;"11";"T";"11"
65;"12";"T";"12"
26;"13";"T";"13"
27;"14";"T";"14"
25;"15";"T";"15"
18;"161";"BZ";"161"
95;"162";"BZ";"162"
96;"163";"BZ";"163"
17;"165";"BZ";"165"
14;"17";"T";"17"
78;"184";"BZ";"184"
77;"185";"BZ";"185"
13;"2";"T";"2"
68;"25";"SB";"25"
84;"29";"B";"Uni-Shuttle"
29;"3";"T";"3"
56;"301";"BL";"301"
79;"302";"BL";"302"
58;"303";"BL";"303"
11;"304";"BL";"304"
85;"305";"BL";"305"
80;"306";"BL";"306"
46;"307";"BL";"307"
12;"308";"BL";"308"
57;"309";"BL";"309"
24;"31";"TR";"31"
66;"311";"BL";"311"
47;"314";"BL";"314"
59;"315";"BL";"315"
31;"32";"TR";"32"
67;"325";"BL";"325"
23;"33";"TR";"33"
48;"330";"BL";"330"
91;"331";"BL";"331"
37;"341";"N";"N11"
16;"342";"N";"N12"
40;"343";"N";"N13"
97;"344";"N";"N14"
98;"345";"N";"N15"
104;"346";"N";"N16"
103;"347";"N";"N17"
101;"348";"N";"N18"
106;"349";"N";"N19"
71;"35";"B";"35"
72;"352";"N";"N30"
43;"37";"B";"37"
82;"38";"B";"38"
74;"39";"B";"39"
100;"391";"N";"N1"
39;"392";"N";"N2"
15;"394";"N";"N4"
102;"395";"N";"N5"
105;"396";"N";"N6"
38;"397";"N";"N7"
94;"398";"N";"N8"
28;"4";"T";"4"
19;"40";"B";"40"
107;"411";"TR";"31E"
108;"412";"TR";"33E"
53;"417";"FB";"S18S"
52;"418";"FB";"S18"
83;"419";"FB";"SN18"
109;"45";"BZ";"45"
55;"46";"TR";"46"
20;"5";"T";"5"
99;"54";"B";"54"
33;"6";"T";"6"
22;"61";"B";"61"
6;"62";"B";"62"
76;"64";"B";"64"
41;"66";"B";"66"
5;"67";"B";"67"
45;"69";"B";"69"
32;"7";"T";"7"
69;"70";"B";"70"
63;"701";"BG";"701"
61;"703";"BG";"703"
60;"704";"BG";"704"
62;"705";"BG";"705"
10;"72";"TR";"72"
87;"73";"B";"73"
35;"743";"BG";"743"
50;"744";"BG";"744"
49;"745";"BG";"745"
21;"75";"B";"75"
34;"751";"BG";"751"
86;"753";"BG";"753"
44;"76";"B";"76"
4;"77";"B";"77"
42;"78";"B";"78"
88;"79";"B";"79"
30;"8";"T";"8"
7;"80";"B";"80"
36;"83";"B";"83"
54;"89";"B";"89"
9;"9";"T";"9"
75;"91";"BP";"91"
70;"910";"BP";"910"
3;"912";"BP";"912"
81;"916";"BP";"916"
93;"917";"BP";"917"
90;"918";"BP";"918"
89;"919";"BP";"919"
73;"94";"B";"94"
