"Tagtyp_Id";"Tagtypname";"Bemerkung"
2;"<Unbenutzt>";
7;"14-A-18";"Montag bis Donnerstag, Jahresfahrplan 2018"
11;"14-B-18";"Montag bis Donnerstag, Fahrplanänderung ab 19.02.2018, Linie 31, 411 (31E)"
16;"14-C-18";"Montag-Donnerstag, Fahrplanänderung ab 14.05.2018 , Linie 33"
23;"14-D-18";"Montag-Donnerstag , Fahrplanänderung ab 03.09.2018, Linie 33, 412 (33E)"
6;"15-A-18";"Montag bis Freitag, Jahresfahrplan 2018"
15;"15-C-18";"Montag - Freitag, Fahrplanänderung ab 18.06.2018 bis 05.10.2018 exkl. 16.07.2018 bis 17.08.2018 (hier wieder ""A""), ab 08.10.2018 keine Zählungen mehr vorhanden , Linie 701, 703, 704, 705"
22;"15-D-18";"Montag-Freitag, Fahrplanänderung ab 10.09.2018, Linie 301, 309, 314"
5;"55-A-18";"Freitag, Jahresfahrplan 2018"
9;"55-B-18";"Freitag, Fahrplanänderung ab 19.02.2018, Linie 31, 411 (31E)"
14;"55-C-18";"Freitag, Fahrplanänderung ab 14.05.2018 , Linie 33"
21;"55-D-18";"Freitag , Fahrplanänderung ab 03.09.2018, Linie 33, 412 (33E)"
4;"66-A-18";"Samstag, Jahresfahrplan 2018"
8;"66-B-18";"Samstag, Fahrplanänderung ab 19.02.2018, Linie 31, 411 (31E)"
20;"66-D-18";"Samstag , Fahrplanänderung ab 03.09.2018, Linie 33, 412 (33E)"
3;"77-A-18";"Sonntag, Jahresfahrplan 2018"
12;"77-B-18";"Sonntag, Fahrplanänderung ab 19.02.2018, Linie 31, 411 (31E)"
19;"77-D-18";"Sonntag, Fahrplanänderung ab 03.09.2018, Linie 33, 412 (33E)"
18;"99-A-18";"Montag-Freitag, Ferienfahrplan 16.07.2018 - 17.08.2018, Linie 5, 6, 8, 32, 46, 80"
40000002;"<Unbenutzt>";
